time_stamp,data_value
1752570362.090428,0.000000
1752570362.091721,0.000000
1752570362.099946,0.000000
1752570362.101252,0.000000
1752570362.110525,0.000000
1752570362.112078,0.000000
1752570362.120179,0.000000
1752570362.121532,0.000000
1752570362.130919,0.000000
1752570362.132343,0.000000
1752570362.140364,0.000000
1752570362.142304,0.000000
1752570362.151247,0.000000
1752570362.153250,0.000000
1752570362.160436,0.000000
1752570362.161980,0.000000
1752570362.170581,0.000000
1752570362.171896,0.000000
1752570362.180698,0.000000
1752570362.182190,0.000000
1752570362.191244,0.000000
1752570362.192995,0.000000
1752570362.201198,0.000000
1752570362.202543,0.000000
1752570362.211099,0.000000
1752570362.212482,0.000000
1752570362.221378,0.000000
1752570362.222751,0.000000
1752570362.232293,0.000000
1752570362.234136,0.000000
1752570362.241885,0.000000
1752570362.243427,0.000000
1752570362.251638,0.000000
1752570362.253035,0.000000
1752570362.261563,0.000000
1752570362.262898,0.000000
1752570362.272030,0.000000
1752570362.273477,0.000000
1752570362.281769,0.000000
1752570362.283352,0.000000
1752570362.291684,0.000000
1752570362.293016,0.000000
1752570362.301691,0.000000
1752570362.303142,0.000000
1752570362.311679,0.000000
1752570362.313159,0.000000
1752570362.321834,0.000000
1752570362.323234,0.000000
1752570362.331834,0.000000
1752570362.333446,0.000000
1752570362.342005,0.000000
1752570362.343483,0.000000
1752570362.352178,0.000000
1752570362.353586,0.000000
1752570362.361901,0.000000
1752570362.363398,0.000000
1752570362.371934,0.000000
1752570362.373350,0.000000
1752570362.381964,0.000000
1752570362.383403,0.000000
1752570362.392124,0.000000
1752570362.393649,0.000000
1752570362.402454,0.000000
1752570362.404276,0.000000
1752570362.413167,0.000000
1752570362.414469,0.000000
1752570362.422618,0.000000
1752570362.423934,0.000000
1752570362.437284,0.000000
1752570362.439210,0.000000
1752570362.442847,0.000000
1752570362.444184,0.000000
1752570362.455783,0.000000
1752570362.457830,0.000000
1752570362.463301,0.000000
1752570362.465637,0.000000
1752570362.474164,0.000000
1752570362.475752,0.000000
1752570362.483426,0.000000
1752570362.484749,0.000000
1752570362.493560,0.000000
1752570362.494869,0.000000
1752570362.503307,0.000000
1752570362.504595,0.000000
1752570362.513397,0.000000
1752570362.514711,0.000000
1752570362.523335,0.000000
1752570362.524795,0.000000
1752570362.533575,0.000000
1752570362.534909,0.000000
1752570362.543537,0.000000
1752570362.544979,0.000000
1752570362.553456,0.000000
1752570362.554737,0.000000
1752570362.563596,0.000000
1752570362.564936,0.000000
1752570362.573728,0.000000
1752570362.575038,0.000000
1752570362.583809,0.000000
1752570362.585217,0.000000
1752570362.593899,0.000000
1752570362.595371,0.000000
1752570362.604167,0.000000
1752570362.605487,0.000000
1752570362.613967,0.000000
1752570362.615316,0.000000
1752570362.623974,0.000000
1752570362.625846,0.000000
1752570362.633999,0.000000
1752570362.635399,0.000000
1752570362.644127,0.000000
1752570362.645598,0.000000
1752570362.654118,0.000000
1752570362.655613,0.000000
1752570362.664439,0.000000
1752570362.666318,0.000000
1752570362.674776,0.000000
1752570362.676530,0.000000
1752570362.684821,0.000000
1752570362.686405,0.000000
1752570362.694732,0.000000
1752570362.696485,0.000000
1752570362.704445,0.000000
1752570362.707276,0.000000
1752570362.714515,0.000000
1752570362.716119,0.000000
1752570362.724581,0.000000
1752570362.725973,0.000000
1752570362.734827,0.000000
1752570362.736353,0.000000
1752570362.744709,0.000000
1752570362.746012,0.000000
1752570362.754744,0.000000
1752570362.756056,0.000000
1752570362.764725,0.000000
1752570362.766018,0.000000
1752570362.774953,0.000000
1752570362.776242,0.000000
1752570362.786110,0.000000
1752570362.787629,0.000000
1752570362.796296,0.000000
1752570362.797925,0.000000
1752570362.805666,0.000000
1752570362.807221,0.000000
1752570362.816808,0.000000
1752570362.818755,0.000000
1752570362.825648,0.000000
1752570362.827221,0.000000
1752570362.837497,0.000000
1752570362.840027,0.000000
1752570362.846118,0.000000
1752570362.847552,0.000000
1752570362.856627,0.000000
1752570362.858014,0.000000
1752570362.866323,0.000000
1752570362.867631,0.000000
1752570362.876068,0.000000
1752570362.877428,0.000000
1752570362.886277,0.000000
1752570362.887576,0.000000
1752570362.896249,0.000000
1752570362.897638,0.000000
1752570362.906270,0.000000
1752570362.907666,0.000000
1752570362.916695,0.000000
1752570362.918669,0.000000
1752570362.926638,0.000000
1752570362.928156,0.000000
1752570362.936738,0.000000
1752570362.938479,0.000000
1752570362.946729,0.000000
1752570362.948128,0.000000
1752570362.956803,0.000000
1752570362.958516,0.000000
1752570362.966737,0.000000
1752570362.968110,0.000000
1752570362.976887,0.000000
1752570362.978199,0.000000
1752570362.987084,0.000000
1752570362.988461,0.000000
1752570362.996984,0.000000
1752570362.998283,0.000000
1752570363.006991,0.000000
1752570363.008478,0.000000
1752570363.016994,0.000000
1752570363.018430,0.000000
1752570363.027036,0.000000
1752570363.028372,0.000000
1752570363.037303,0.000000
1752570363.041481,0.000000
1752570363.047440,0.000000
1752570363.049774,0.000000
1752570363.057690,0.000000
1752570363.061805,0.000000
1752570363.067397,0.000000
1752570363.069559,0.000000
1752570363.078751,0.000000
1752570363.081118,0.000000
1752570363.087696,0.000000
1752570363.089239,0.000000
1752570363.097597,0.000000
1752570363.099229,0.000000
1752570363.107822,0.000000
1752570363.109482,0.000000
1752570363.117829,0.000000
1752570363.119140,0.000000
1752570363.127961,0.000000
1752570363.130496,0.000000
1752570363.138398,0.000000
1752570363.140352,0.000000
1752570363.148493,0.000000
1752570363.150277,0.000000
1752570363.158098,0.000000
1752570363.159428,0.000000
1752570363.168139,0.000000
