timestamp,Delay,Detector,LC,MM,MMInterp,MPC,MultiViewTracker,Planner,TL,TS,Detector_D,Detector_P,Entron,LC_D,LC_P,MAIN,MMInterp_D,MMInterp_P,MM_D,MM_P,MPC_D,MPC_P,MultiViewTracker_D,MultiViewTracker_P,Planner_D,Planner_P,TL_D,TL_P,TS_D,TS_P
1752570362.902944,370.000000,100.015800,79.725433,110.069138,14.390854,17.899710,21.994381,168.585205,2.295940,9.215022,8.410406,19.901661,37.701576,7.968557,12.543049,48.290630,8.139281,69.488579,8.168903,22.651270,8.546575,55.866829,8.409420,45.466160,0.000000,33.058117,8.279249,435.551514,8.377793,108.518463
1752570362.964743,372.000000,100.015800,81.171425,113.001228,14.390854,17.899710,21.994381,168.400681,2.295940,9.215022,8.410406,19.901661,38.101265,7.686941,12.319607,48.292027,8.139281,69.488579,8.168903,22.651270,8.546575,55.866829,8.409420,45.466160,0.000000,33.058117,8.279249,435.551514,8.377793,108.518463
1752570363.006932,374.000000,102.613251,81.171425,113.333862,14.348503,17.868021,21.994381,169.259491,2.295940,9.215022,8.410406,19.343231,37.338215,7.686941,12.319607,48.220200,8.172769,69.693680,8.195011,21.699202,8.546575,55.866829,8.409420,45.466160,0.000000,32.858406,8.279249,435.551514,8.377793,108.518463
1752570363.080560,375.000000,104.349083,82.052155,112.456642,14.348503,17.868021,21.918684,169.523071,2.543031,9.005223,8.289815,19.343231,40.505188,7.686941,12.319607,48.186218,8.172769,69.693680,8.195011,21.699202,8.346472,55.965908,8.409420,45.466160,0.000000,32.858406,8.287263,393.231537,8.396398,111.046661
1752570363.127770,376.000000,108.052299,82.052155,117.717239,15.179740,17.743975,21.918684,170.346664,2.543031,9.005223,8.289815,19.343231,40.249092,7.746052,12.187370,48.213737,8.112855,65.877281,8.233595,20.792629,8.346472,55.965908,8.313947,45.623177,0.000000,32.734047,8.287263,393.231537,8.396398,111.046661
1752570363.218842,378.000000,108.105362,82.023857,120.993904,15.724666,17.743975,22.031052,171.057755,2.791464,10.399105,8.221672,18.414032,43.534477,7.903221,12.191575,48.243324,8.417310,63.594357,8.343596,19.555241,8.488127,56.357159,8.313947,45.623177,0.000000,32.533104,8.287263,393.231537,8.396398,111.046661
1752570363.261230,379.000000,107.581505,82.677086,121.731400,15.724666,17.375877,22.031052,170.858307,2.791464,10.399105,8.221672,18.414032,38.800682,7.973856,12.095250,48.184399,8.417310,63.594357,8.343596,19.555241,8.422751,57.551048,8.241237,45.390480,0.000000,32.533104,8.182385,358.234924,8.256307,96.162125
1752570363.310497,381.000000,109.099968,82.677086,125.470375,15.579618,17.375877,22.031052,171.449127,2.791464,10.399105,8.221672,18.414032,39.433949,7.973856,12.095250,48.195194,8.417310,63.594357,8.392843,18.605145,8.422751,57.551048,8.241237,45.390480,0.000000,32.533104,8.182385,358.234924,8.256307,96.162125
1752570363.356440,382.000000,108.612030,82.677086,125.411415,15.579618,17.375877,22.031052,172.101501,2.791464,10.399105,8.240466,17.913160,37.695595,7.973856,12.095250,47.676487,8.479680,64.186424,8.392843,18.605145,8.422751,57.551048,8.241237,45.390480,0.000000,32.202126,8.182385,358.234924,8.256307,96.162125
1752570363.399085,384.000000,108.612030,82.847252,125.778198,15.579618,17.292114,22.971251,172.830063,3.207779,12.050997,8.240466,17.913160,36.481873,7.999181,12.070407,47.640396,8.479680,64.186424,8.392843,18.605145,8.427643,57.829826,8.220204,43.532677,0.000000,32.202126,8.148955,311.742188,8.225554,82.980690
1752570363.461185,385.000000,109.276581,82.847252,128.236954,16.434338,17.292114,22.971251,172.834412,3.207779,12.050997,8.240466,17.702429,36.974876,7.999181,12.070407,47.676846,8.472276,60.848206,8.410349,17.918304,8.427643,57.829826,8.220204,43.532677,0.000000,32.202126,8.148955,311.742188,8.225554,82.980690
1752570363.523620,387.000000,108.323814,82.840721,128.236954,16.434338,17.292114,23.311892,174.281311,3.571497,12.964539,8.336550,17.702429,36.620651,8.046685,12.071358,47.664806,8.472276,60.848206,8.410349,17.918304,8.427643,57.829826,8.363094,42.896561,0.000000,31.262537,8.339646,279.994598,8.425447,77.133484
1752570363.565927,388.000000,110.993301,82.840721,133.291107,16.643105,17.574987,23.311892,174.903976,3.571497,12.964539,8.336550,17.702429,37.584568,8.046685,12.071358,47.649670,8.472276,60.848206,8.352194,16.835043,8.274746,56.899044,8.363094,42.896561,0.000000,31.262537,8.339646,279.994598,8.425447,77.133484
1752570363.611701,389.000000,111.272591,82.840721,133.888519,16.643105,17.574987,23.311892,175.285004,4.121027,12.533572,8.336550,17.057947,40.337803,8.046685,12.071358,47.651634,8.422046,60.084942,8.352194,16.835043,8.274746,56.899044,8.363094,42.896561,0.000000,31.129129,8.339646,279.994598,8.425447,77.133484
1752570363.676285,390.000000,111.962502,83.194305,134.721771,16.561247,17.375626,23.700811,174.996048,4.121027,12.533572,8.081290,17.057947,40.731022,7.991170,12.020054,47.761696,8.755894,60.381924,8.642632,16.602152,8.595788,57.551888,8.108335,42.192650,0.000000,31.129129,8.144656,242.657944,8.201912,79.785713
1752570363.711567,393.000000,111.962502,83.261734,136.475281,16.561247,17.375626,23.700811,175.695343,4.121027,12.533572,8.081290,17.057947,39.602619,7.991170,12.020054,47.741932,8.755894,60.381924,8.642632,16.602152,8.595788,57.551888,8.108335,42.192650,0.000000,31.129129,8.144656,242.657944,8.201912,79.785713
1752570363.749729,395.000000,112.374359,83.261734,137.542175,16.561247,17.375626,23.700811,175.688095,4.121027,12.533572,8.081290,16.938944,39.484856,8.209209,12.010319,47.732258,8.755894,60.381924,8.642632,16.602152,8.595788,57.551888,8.108335,42.192650,0.000000,31.129129,8.144656,242.657944,8.201912,79.785713
1752570363.799950,398.000000,112.314339,83.261734,136.001694,16.561247,17.375626,24.187580,176.233017,5.516987,12.338462,8.033959,16.938944,38.846188,8.209209,12.010319,48.291348,8.755894,60.381924,8.500504,16.990116,8.595788,57.551888,8.059084,41.343533,0.000000,30.449688,8.093604,181.258347,8.154848,81.047379
1752570363.851580,401.000000,112.446136,83.261734,136.001694,16.094244,17.035049,24.187580,176.509583,5.516987,12.338462,8.033959,16.938944,36.787262,8.209209,12.010319,48.280285,8.656425,62.134018,8.500504,16.990116,8.387549,58.702503,8.059084,41.343533,0.000000,30.449688,8.093604,181.258347,8.154848,81.047379
1752570363.889822,403.000000,112.604919,83.128815,136.249390,16.094244,17.035049,24.187580,176.545197,5.516987,12.338462,8.033959,16.938944,37.049419,8.187121,12.029523,48.238155,8.656425,62.134018,8.500504,16.990116,8.387549,58.702503,8.059084,41.343533,0.000000,30.424904,8.093604,181.258347,8.154848,81.047379
1752570363.944354,405.000000,115.187714,83.128815,136.572205,16.094244,17.035049,24.187580,176.484085,7.190427,10.991197,7.818491,16.141470,37.049419,8.187121,12.029523,48.211700,8.656425,62.134018,8.500504,16.990116,8.387549,58.702503,8.059084,41.343533,0.000000,30.424904,7.877577,139.073807,8.015162,90.981903
1752570363.984348,408.000000,115.492393,83.128815,139.490952,16.094244,17.519270,24.329266,176.962921,7.190427,10.991197,7.818491,16.141470,36.600529,8.187121,12.029523,48.219120,8.656425,62.134018,8.276971,16.829926,8.348956,57.080006,7.880210,41.102760,0.000000,30.424904,7.877577,139.073807,8.015162,90.981903
1752570364.031206,411.000000,115.864716,83.128815,138.732468,16.197149,17.519270,24.329266,176.241226,7.190427,10.991197,7.818491,16.141470,37.629467,8.187121,12.029523,48.244690,8.385734,61.739262,8.276971,16.829926,8.348956,57.080006,7.880210,41.102760,0.000000,30.424904,7.877577,139.073807,8.015162,90.981903
1752570364.083017,413.000000,115.374672,82.671867,138.016266,16.197149,17.519270,24.329266,176.037064,7.190427,10.991197,7.798938,16.045040,37.556370,7.995021,12.096013,48.201733,8.385734,61.739262,8.276971,16.829926,8.348956,57.080006,7.880210,41.102760,0.000000,30.618208,7.877577,139.073807,8.015162,90.981903
1752570364.175654,415.000000,115.834076,82.671867,140.212433,16.557673,17.962091,24.714783,176.299957,8.282628,10.911530,8.022968,15.952280,36.728149,7.995021,12.096013,48.252392,8.396983,60.394958,8.289471,16.299248,8.279775,55.672806,7.868172,41.090019,0.000000,30.618208,7.821636,120.734619,7.997444,91.646179
1752570364.215923,417.000000,115.834076,82.632156,141.948349,16.557673,17.962091,24.714783,176.601852,14.284402,11.053851,8.022968,15.952280,36.161217,7.928402,12.101827,48.177879,8.396983,60.394958,8.289471,16.299248,8.279775,55.672806,8.036526,40.461613,0.000000,30.618208,7.821636,120.734619,7.997444,91.646179
1752570364.257660,419.000000,115.834076,82.632156,146.981781,16.557673,17.962091,24.714783,176.276031,14.284402,11.053851,8.022968,15.952280,39.582397,7.928402,12.101827,48.105507,8.396983,60.394958,8.289471,16.299248,8.279775,55.672806,8.036526,40.461613,0.000000,30.524172,7.737426,70.006432,7.850709,90.466209
1752570364.307374,420.000000,118.033875,82.632156,147.821747,16.946899,18.092627,24.714783,176.935577,14.284402,11.053851,8.022968,15.434794,37.179295,7.928402,12.101827,48.189198,8.244970,59.007843,8.137935,15.063424,8.279775,55.672806,8.036526,40.461613,0.000000,30.277731,7.737426,70.006432,7.850709,90.466209
1752570364.356045,421.000000,117.945282,82.081345,147.442978,16.946899,18.049940,24.787628,177.570053,14.398849,11.748960,7.943871,15.434794,37.978874,7.826949,12.183037,48.263329,8.244970,59.007843,8.137935,15.063424,8.618576,55.401848,7.971752,40.342705,0.000000,30.277731,7.865898,69.449997,7.840891,85.113914
1752570364.401265,423.000000,120.688278,82.081345,150.094513,16.595205,18.049940,24.787628,177.925583,14.398849,11.748960,7.943871,15.434794,37.106159,7.826949,12.183037,48.306450,8.244970,59.007843,8.259055,14.589604,8.618576,55.401848,7.971752,40.342705,0.000000,30.277731,7.865898,69.449997,7.840891,85.113914
1752570364.434958,425.000000,119.234108,81.751030,149.699478,16.595205,18.049940,24.486452,177.476089,14.239916,11.644238,8.057426,14.807865,35.782249,7.826949,12.183037,48.331982,8.392762,60.258366,8.259055,14.589604,8.618576,55.401848,7.971752,40.342705,0.000000,30.277731,8.000807,70.225136,8.005540,85.879379
