time_stamp,x_acc,y_acc,z_acc,x_acc_bias,y_acc_bias,z_acc_bias,pitch,roll,yaw,pitch_std,roll_std,yaw_std,x_gyro,y_gyro,z_gyro,x_gyro_bias,y_gyro_bias,z_gyro_bias,x_mag,y_mag,z_mag,sensor_time_counter,operation_mode,linear_acceleration_enabled,turn_switch_enabled
1752570362.262682,0.836950,0.029998,-9.797316,0.000000,0.000000,0.000000,0.002277,-1.196461,-3.462026,0.000000,0.000000,0.000000,-0.743328,-1.813390,0.809408,0.169907,0.039243,-0.153512,-1.431771,0.085808,-4.427702,5947560,3,1,0
1752570362.272682,0.824411,-0.062166,-9.913749,0.000000,0.000000,0.000000,-0.018291,-1.204723,-3.451757,0.000000,0.000000,0.000000,-0.556074,-2.295854,0.882303,0.169907,0.039243,-0.153512,-1.478352,0.098067,-4.430154,5947570,3,1,0
1752570362.282682,0.527579,-0.202581,-9.867102,0.000000,0.000000,0.000000,-0.043641,-1.211694,-3.440158,0.000000,0.000000,0.000000,-0.605918,-2.675691,1.009909,0.169907,0.039243,-0.153512,-1.515127,0.115228,-4.427702,5947580,3,1,0
1752570362.292682,0.239257,-0.174820,-9.878901,0.000000,0.000000,0.000000,-0.070977,-1.221019,-3.427658,0.000000,0.000000,0.000000,-0.934973,-2.609268,1.055585,0.169907,0.039243,-0.153512,-1.522482,0.147100,-4.420348,5947590,3,1,0
1752570362.302682,0.304583,0.084542,-10.095522,0.000000,0.000000,0.000000,-0.094703,-1.233708,-3.414925,0.000000,0.000000,0.000000,-1.245847,-2.059747,1.042331,0.169907,0.039243,-0.153512,-1.495514,0.156906,-4.412992,5947600,3,1,0
1752570362.312682,0.615177,0.121028,-10.206751,0.000000,0.000000,0.000000,-0.112931,-1.248964,-3.403548,0.000000,0.000000,0.000000,-1.389990,-1.665195,0.805264,0.169904,0.039233,-0.153514,-1.456288,0.152003,-4.405638,5947610,3,1,0
1752570362.322682,0.766085,-0.166715,-10.163978,0.000000,0.000000,0.000000,-0.129370,-1.264391,-3.394368,0.000000,0.000000,0.000000,-1.376590,-1.715293,0.721799,0.169904,0.039233,-0.153514,-1.407254,0.139745,-4.398283,5947620,3,1,0
1752570362.332682,0.712896,-0.188433,-10.228360,0.000000,0.000000,0.000000,-0.147809,-1.280215,-3.384151,0.000000,0.000000,0.000000,-1.486689,-1.954246,0.965309,0.169904,0.039233,-0.153514,-1.345963,0.134841,-4.390928,5947630,3,1,0
1752570362.342682,0.424189,0.077950,-10.292638,0.000000,0.000000,0.000000,-0.168782,-1.297805,-3.371470,0.000000,0.000000,0.000000,-1.660290,-2.163316,1.102707,0.169904,0.039233,-0.153514,-1.265058,0.149551,-4.383573,5947640,3,1,0
1752570362.352682,0.132382,0.293985,-10.260859,0.000000,0.000000,0.000000,-0.190076,-1.316289,-3.358482,0.000000,0.000000,0.000000,-1.640800,-1.930608,1.060124,0.169904,0.039233,-0.153514,-1.189056,0.181423,-4.381121,5947650,3,1,0
1752570362.362682,0.178078,0.095476,-10.230149,0.000000,0.000000,0.000000,-0.206470,-1.334159,-3.346830,0.000000,0.000000,0.000000,-1.644285,-1.286462,0.853213,0.169904,0.039233,-0.153514,-1.149830,0.223101,-4.378669,5947660,3,1,0
